şikayet_metni,kategori
"Yol sorunu trafik akışını engelliyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle kışın ulaşım çok zor","ulaşım,yol sorunu"
"Yol sorunu yüzünden mahalleye ulaşım aksıyor","ulaşım,yol sorunu"
"Yol sorunu araçların bakım masraflarını artırıyor","ulaşım,yol sorunu"
"Yol sorunu ciddi kazalara neden oluyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden toplu taşıma aksıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle trafik durma noktasına geliyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle ambulans yolları kullanamıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle kışın ulaşım aksıyor","ulaşım,yol sorunu"
"Yol sorunu trafik güvenliğini tehlikeye atıyor","ulaşım,yol sorunu"
"Yeni yapılan asfalt çok düzgün, ama kaldırım eksik.","ulaşım,yol sorunu"
"Yol rezalet durumda.","ulaşım,yol sorunu"
"Bu yollarla mı ulaşım sağlayacağız?","ulaşım,yol sorunu"
"Asfalt güzel ama rögar kapakları hala açıkta, araçlar zıplıyor","ulaşım,yol sorunu"
"Arabayla geçerken içim gidiyor bu çukurlara, ne zaman düzelteceksiniz?","ulaşım,yol sorunu"
"Yola bak, lunapark gibi olmuş; her yer çukur, tüm teker yamuldu","ulaşım,yol sorunu"
"Şehir merkezinde böyle bozuk bir yol olması yakışmıyor açıkçası.","ulaşım,yol sorunu"
"Yolların asfalt kalitesi kötü, sürüş konforu düşük.","ulaşım,yol sorunu"
"Yollarda büyük çukurlar var, araçlarımız zarar görüyor.","ulaşım,yol sorunu"
"Çöp toplanmadığı için sokakta kötü bir koku oluştu.","Çevre Temizliği"
"Mahallemizdeki plastik atık kutusu haftalardır boşaltılmadı.","Çevre Temizliği"
"Çöp kutusu yanmış ve çevresi kirli, görüntü kirliliği oluşuyor.","Çevre Temizliği"
"İnşaat molozları normal çöp konteynerinin yanına dökülmüş.","Çevre Temizliği"
"Geridönüşüm kutuları karıştırılıyor, ayırma işlemi yapılamıyor.","Çevre Temizliği"
"Çöp konteynırları dolmuş taşmış, temizlenmesi gerekiyor.","Çevre Temizliği"
"Çöp kokusu evin içine kadar geliyor, pencereleri açamıyoruz.","Çevre Temizliği"
"Atık pil kutusu hiçbir yerde bulunmuyor, piller elde birikti.","Çevre Temizliği"
"Çöp toplama saati çok erken, gece çıkardığımız çöpler sokakta kalıyor.","Çevre Temizliği"
"Sokakta evsel atıklar gelişi güzel bırakılmış.","Çevre Temizliği"
"Okul çevresinde uzun süredir biriken çöpler alınmamış.","Çevre Temizliği"
"Pazar kurulumu sonrası çöpler günlerce toplanmıyor.","Çevre Temizliği"
"Mahalle girişindeki çöp konteyneri kırılmış, kullanılmaz durumda.","Çevre Temizliği"
"Ağaç altına sürekli çöp atılıyor, çevre kirliliği artıyor.","Çevre Temizliği"
"Çöp kamyonları bölgeye çok geç geliyor, konteynerler taşıyor.","Çevre Temizliği"
"Sokakta çöp bidonları dağınık şekilde duruyor, geçişi engelliyor.","Çevre Temizliği"
"Yayalar çöp yığınlarının üzerinden geçmek zorunda kalıyor.","Çevre Temizliği"
"Çöp suyu yollara sızmış, çevreyi kirletiyor.","Çevre Temizliği"
"Veteriner kliniği önünde tıbbi atık bırakılmış, tehlike arz ediyor.","Çevre Temizliği"
"Mahallemizde çöp kutusu sayısı yetersiz, yere atılıyor.","Çevre Temizliği"
"Çöp toplama saatleri düzensiz, haftada sadece bir kez geliyor.","Çevre Temizliği"
"Çöp birikintileri sokak hayvanlarını çekiyor, çevrede tehlike oluşuyor.","Çevre Temizliği"
"Belediye konteyner getirecekti, 2 aydır hâlâ gelmedi.","Çevre Temizliği"
"Cam geri dönüşüm kutusu dolmuş, camlar dışına yığılmış.","Çevre Temizliği"
"Sokak köşelerinde çöpler poşetli şekilde bekliyor, dağılmış durumda.","Çevre Temizliği"
"Çöp toplanmadığı için böcek ve sinek sorunu arttı.","Çevre Temizliği"
"Çöp kamyonu bazı sokaklara hiç girmiyor.","Çevre Temizliği"
"Esnaf çöpünü dükkan önüne bırakıyor, çevre kirleniyor.","Çevre Temizliği"
"Park içindeki çöp kutuları taşmış, çocuklar etkileniyor.","Çevre Temizliği"
"İnşaat atıkları normal çöp gibi konteynere atılmış.","Çevre Temizliği"
"Hayvan mamaları ve ev atıkları birlikte atılmış, çok kötü kokuyor.","Çevre Temizliği"
"Sokakta çöplerin arasında patlamış poşetlerden sıvı akıyor.","Çevre Temizliği"
"Marketler atıklarını sokaklara bırakıyor, fareler türedi.","Çevre Temizliği"
"Mahallede çöp konteyneri eksikliği var, herkes yere bırakıyor.","Çevre Temizliği"
"Konteynerin kapağı kırık.","Çevre Temizliği"
"Bayram sonrası çöpler günlerce toplanmadı.","Çevre Temizliği"
"Çöp kamyonları sadece ana caddeye uğruyor, ara sokaklar unutulmuş.","Çevre Temizliği"
"Cam atık kutuları uzun zamandır boşaltılmadı.","Çevre Temizliği"
"Mahallemizde geri dönüşüm kutusu yok, her şey aynı kutuya atılıyor.","Çevre Temizliği"
"Restoran atıkları sokağa bırakılıyor, pis koku yayılıyor.","Çevre Temizliği"
"Yıkılmış binanın molozları konteyner yanına atılmış.","Çevre Temizliği"
"Çöp toplama aracı zamanında gelmediği için koku dayanılmaz hale geldi.","Çevre Temizliği"
"Konteynerdeki çöp suları yola sızıyor, mikrop saçıyor.","Çevre Temizliği"
"Çöp bidonlarının sayısı mahallemiz için yetersiz.","Çevre Temizliği"
"Yol kenarındaki çöp kutusu yanmış, değiştirilmeli.","Çevre Temizliği"
"Çöp arabaları sesli çalışıyor, sabah erken saatte uyandırıyor.","Çevre Temizliği"
"Çöp toplama programı düzgün çalışmıyor, gün atlanıyor.","Çevre Temizliği"
"Konteynerden taşan çöpler yola yayılmış.","Çevre Temizliği"
"Çöpler konteynere değil, çevresine bırakılıyor.","Çevre Temizliği"
"Sokakta çöp ayrıştırma kutusu eksik.","Çevre Temizliği"
"Atık yağ kutusu yok, herkes lavaboya döküyor olabilir.",Çevre Temizliği
"Cam kutusuna pet şişe atılmış, ayrıştırma yanlış.",Çevre Temizliği
"Çöp alanı belediyeye ait olmasına rağmen denetlenmiyor.",Çevre Temizliği
"Okul önünde sürekli çöp birikiyor, çocuklar rahatsız oluyor.",Çevre Temizliği
"Pazar sonrası oluşan çöp yığınları uzun süre kaldırılmıyor.",Çevre Temizliği
"Konteyner yanına mobilya atıkları bırakılmış.",Çevre Temizliği
"Çöp yığını yüzünden yayalar kaldırım kullanamıyor.",Çevre Temizliği
"Yağmur sonrası çöplerin yerinden akıp gitmesi çok kötü kokular yayıyor.",Çevre Temizliği
"Belediyenin getirdiği konteyner kırık teslim edildi.",Çevre Temizliği
"Çöp kamyonu bazı günler hiç uğramıyor.",Çevre Temizliği
"Hayvan sahipleri dışkıları çöpe değil, açık alana bırakıyor.",Çevre Temizliği
"Mahallemizin çöp alanı hayvanlarca eşeleniyor, mikrop yayılıyor.",Çevre Temizliği
"Kokudan dolayı çocukları dışarı çıkaramıyoruz.",Çevre Temizliği
"Mahalleye konteyner istiyoruz, mevcutlar çok eski.",Çevre Temizliği
"Cam geri dönüşüm kutuları şeffaf değil, içinde ne olduğu görülmüyor.",Çevre Temizliği
"Çöp suyu konteynerden sızıyor, yerler leş gibi.",Çevre Temizliği
"Otobüs durağı yakınında çöp yığını var, durmak imkânsız.",Çevre Temizliği
"Köy yerinde çöp haftada bir toplanıyor, yetmiyor.",Çevre Temizliği
"Yol kenarına hayvan leşleri atılmış.",Çevre Temizliği
"Çöp yığını nedeniyle araçların geçişi engelleniyor.",Çevre Temizliği
"Kapı önüne bırakılan çöpler sokak hayvanlarınca parçalanıyor.",Çevre Temizliği
"Konser sonrası meydanda çöp toplanmamış.",Çevre Temizliği
"Gece çöpler yakılmış, duman mahalleye yayıldı.",Çevre Temizliği
"Mahalle pazarının çıkışında çöpler dağ gibi yığılmış.",Çevre Temizliği
"Alışveriş merkezi arkasında çöp kokusu yayılıyor.",Çevre Temizliği
"Konteyner sürekli devriliyor, yere saçılıyor.",Çevre Temizliği
"Konteynerin içi karıncalar ve sineklerle dolmuş.",Çevre Temizliği
"Sokakta konteyner yok, tüm çöpler kaldırıma bırakılıyor.",Çevre Temizliği
"Çöp araçları tüm çöpleri ayrıştırmadan birlikte topluyor.",Çevre Temizliği
"Yaz günü çöplerin kokusu iyice artıyor, sağlık riski oluştu.",Çevre Temizliği
"Temizlik personeli çöpleri toplayıp yeri süpürmüyor.",Çevre Temizliği
"Çöp kamyonundan sıvı akıyor, geçtiği yollar kirleniyor.",Çevre Temizliği
"Mahalle arasında moloz döküntüleri çöp alanına karışmış.",Çevre Temizliği
"Konteynerlerin etrafında sürekli çöp suyu birikiyor, sağlık riski oluşturuyor.",Çevre Temizliği
"Parktaki çöp kutuları minyatür boyutta, hemen taşıyor.",Çevre Temizliği
"Yemek artıkları normal çöple karıştırılıyor, koku dayanılmaz.",Çevre Temizliği
"Elektronik atık toplama merkezi bilinmiyor, eski cihazlar sokakta.",Çevre Temizliği
"Mahalle girişindeki çöp alanı rüzgarla dağılıyor, çevre kirleniyor.",Çevre Temizliği
"Konteyner kapakları sürekli açık, yağmurda içi su doluyor.",Çevre Temizliği
"Büyük eşya atık alanı belirsiz, mobilyalar sokak ortasında.",Çevre Temizliği
"Çöp konteynerleri paslanmış ve delik, sıvı sızıntısı var.",Çevre Temizliği
"Okul bahçesindeki çöp bidonları ağzına kadar dolu, temizlenmiyor.",Çevre Temizliği
"Çöp ayrıştırma eğitimi verilmiyor, her şey karışık atılıyor.",Çevre Temizliği
"Pazar yerine yeterli çöp kutusu konmamış, sebze artıkları yerde.",Çevre Temizliği
"Kanalizasyon kapağı çöp yığınıyla kapatılmış, risk oluşturuyor.",Çevre Temizliği
"Çöplerin arasında tıbbi maske atıkları görülüyor, tehlikeli.",Çevre Temizliği
"Konteynerlerin üzeri grafitilerle dolu, görüntü kirliliği yaratıyor.",Çevre Temizliği
"İnşaat şantiyeleri çöplerini belediye konteynerlerine atıyor.",Çevre Temizliği
"Atık yağ toplama noktaları tanıtılmamış, kimse bilmiyor.",Çevre Temizliği
"Konteynerlerin altına sızan çöp suları kaldırımı aşındırmış.",Çevre Temizliği
"Çöp toplama güzergahı mantıksız, bazı sokaklar hep unutuluyor.",Çevre Temizliği
"Kırık camlar çöp alanı etrafına saçılmış, yaralanma riski var.",Çevre Temizliği
"Çöp kamyonu operatörü dikkatsiz, konteynerleri çarpıyor.",Çevre Temizliği
"Yemekhane atıkları için özel toplama sistemi yok.",Çevre Temizliği
"Çöp alanına bırakılan kırık aynalar trafikte tehlike yaratıyor.",Çevre Temizliği
"Mahalle sakinleri çöpünü gece yarısı bırakıyor",Çevre Temizliği
"Konteynerlerin temizlik tarihleri asılmıyor, ne zaman yıkanacak bilinmiyor.",Çevre Temizliği
"Kağıt geri dönüşüm kutusuna ıslak atıklar atılıyor, işe yaramıyor.",Çevre Temizliği
"Turistik bölgede çöp kutusu sayısı çok az, turistler yere atıyor.",Çevre Temizliği
"Çöp bidonlarının renk kodlaması yok, ayrıştırma bilinci eksik.",Çevre Temizliği
"Çöp toplama sahasına yabani hayvanlar dadanmış.",Çevre Temizliği
"Belediye çöp uyarı levhaları asmamış, insanlar bilinçsiz.",Çevre Temizliği
"Çöp kamyonu yağmurlu havada gelmiyor, konteynerler taşıyor.",Çevre Temizliği
"Restoran atık yağları kanalizasyona dökülüyor, çevre kirleniyor.",Çevre Temizliği
"Konteynerlerin yerleri mantıksız, dar sokaklara konmuş.",Çevre Temizliği
"Pil toplama kutusu dolmuş, kimse boşaltmıyor.",Çevre Temizliği
"Atık tekstil konteyneri yok, eski kıyafetler çöpe gidiyor.",Çevre Temizliği
"Çöp toplama personeli sigara izmaritlerini yere atıyor.",Çevre Temizliği
"Konteynerlerin üzeri reklam panosu gibi kullanılıyor.",Çevre Temizliği
"Çocuklar çöp alanına top oynuyor, hijyenik değil.",Çevre Temizliği
"İnternet sitenizde çöp takvim güncel değil, yanlış bilgi var.",Çevre Temizliği
"Çöp bidonu kapasitesi mahalle nüfusuna göre yetersiz.",Çevre Temizliği
"Konteynerlerde yangın çıkmış, plastik dumanı soluduk.",Çevre Temizliği
"Çöp şikayet hattı sürekli meşgul, ulaşılamıyor.",Çevre Temizliği
"Konteynerlerin yanına inşaat demirleri bırakılmış.",Çevre Temizliği
"Çöp toplama araçları egzoz filtresiz, hava kirleniyor.",Çevre Temizliği
"Otogar tuvaletlerinin çöp kutuları taşmış, değişmiyor.",Çevre Temizliği
"Mahalle mezarlığı girişi çöplük gibi, saygısızlık.",Çevre Temizliği
"Konteynerlerin içine ölü hayvan atılmış, tiksindirici.",Çevre Temizliği
"Tekstil atık kutusuna evsel çöp doldurulmuş.",Çevre Temizliği
"Konteyner temizleme araçları hiç görülmüyor.",Çevre Temizliği
"Çöp alanına bırakılan battaniyeler parazit yayıyor.",Çevre Temizliği
"Kafe teraslarındaki çöp kutuları yetersiz, masalar kirli.",Çevre Temizliği
"Okul servis durağında çöp kutusu yok, öğrenciler yere atıyor.",Çevre Temizliği
"Konteynerlerin altı yağ lekesi olmuş, temizlenmiyor.",Çevre Temizliği
"Çöp toplama personeli eğitimsiz, vatandaşa kaba davranıyor.",Çevre Temizliği
"Atık ilaç toplama kutusu eczanelerde yok, çöpe atılıyor.",Çevre Temizliği
"Çöp bidonları çalınmış, yerine yenisi konmamış.",Çevre Temizliği
"Pazar yerindeki çöp konteynerleri pazar günü dolu kalıyor.",Çevre Temizliği
"Konteynerlerin etiketleri silinmiş, hangisinin ne olduğu belli değil.",Çevre Temizliği
"Çöp şikayetlerine mail yoluyla cevap verilmiyor.",Çevre Temizliği
"Oturma banklarının yanında çöp kutusu eksik, yere atılıyor.",Çevre Temizliği
"Konteynerlerde mantar oluşmuş, sağlıksız ortam.",Çevre Temizliği
"Çocuk oyun alanına yakın konteynerler kaldırılmalı.",Çevre Temizliği
"Konteynerlerin arkasına saklanan çöpler aylardır duruyor.",Çevre Temizliği
"Atık piller çöpe atılıyor, toprak kirleniyor.",Çevre Temizliği
"Konteynerlerin kapağında kırık cam parçaları var.",Çevre Temizliği
"Çöp alanına bırakılan kırık camlar bisiklet lastiklerini patlatıyor.",Çevre Temizliği
"İnşaat yıkıntıları için özel konteyner talep ediyoruz.",Çevre Temizliği
"Atık getirme merkezi çalışma saatleri kısıtlı, ulaşamıyoruz.",Çevre Temizliği
"Çöp toplama saati iş çıkışına denk geliyor, yetişemiyoruz.",Çevre Temizliği
"Konteynerlerde fare yuvaları oluşmuş, ilaçlama yapılmıyor.",Çevre Temizliği
"Çöp alanına bırakılan kırık aynalar güneşte yangın çıkarabilir.",Çevre Temizliği
"Konteynerlerin rengi solmuş, numaralandırma yok.",Çevre Temizliği
"Çöp kamyonunun arkasından çöp düşüyor, takip edip topluyoruz.",Çevre Temizliği
"Atık yağ toplama noktalarının sayısı çok az.",Çevre Temizliği
"Konteynerlerin içinde bırakılan mobilya parçaları sıkışmış.",Çevre Temizliği
"Site bahçesindeki çöp alanı görüntüyü bozuyor.",Çevre Temizliği
"Kanalizasyona çöp atılması tıkanıklara neden oluyor.",Çevre Temizliği
"Çöp kutuları düzenli olarak boşaltılmıyor, sokaklar pis.",Çevre Temizliği
"Parklarda çöp kutusu sayısı yetersiz, çöpler etrafa saçılıyor.",Çevre Temizliği
"Çöp kamyonları bazı sokaklara uğramıyor, çöpler birikmiş.",Çevre Temizliği
"Temizlik sonrası sokakların yıkanması nadiren yapılıyor.",Çevre Temizliği
"Toplu taşıma duraklarında çöp kutuları bulunmuyor.",Çevre Temizliği
"Mahalle meydanında çöpler birikmiş, düzenli temizlik yapılmalı.",Çevre Temizliği
"İşyerlerinden çıkan çöpler uygun şekilde toplanmıyor.",Çevre Temizliği
"Park ve bahçe temizliği düzenli yapılmıyor.",Çevre Temizliği
"Mahalledeki temizlik araçları eski ve yetersiz.",Çevre Temizliği
"Çöplerin taşınması sırasında yol kenarına dökülen atıklar var.",Çevre Temizliği
"Cadde üzerindeki çöpler fırtına ile etrafa saçılıyor.",Çevre Temizliği
"Evsel atıklar yola ve kaldırımlara dökülmüş durumda.",Çevre Temizliği
"Atık kutularının üstü kapalı değil, koku ve sinek oluşuyor.",Çevre Temizliği
"Cadde boyunca çöp kutuları çok seyrek yerleştirilmiş.",Çevre Temizliği
"Gece geç saatlerde yüksek sesle müzik çalınıyor.","gürültü"
"İnşaat gürültüsü sabah 6'da başlıyor.","gürültü"
"Kafe müziği komşuları rahatsız ediyor.","gürültü"
"Araç kornaları gece boyunca sürüyor.","gürültü"
"Gürültü rahatsız ediyo.","gürültü"
"Motorsiklet sesleri çok yüksek.","gürültü"
"Düğün sesi gece yarısını geçti.","gürültü"
"Restoran mutfağından gelen sesler rahatsız ediyor.","gürültü"
"Parkta hoparlör sesi çok yüksek.","gürültü"
"Bina çatısındaki cihaz gürültüsü devam ediyor.","gürültü"
"Ev dış üniteleri klima gürültü çıkarıyor.","gürültü"
"Site içinde düğün kutlaması gece 1'e kadar sürdü.","gürültü"
"Çöp kamyonu sabah çok erken saatte gürültü yapıyor.","gürültü"
"Cadde üzerindeki egzoz sesleri evin içine kadar geliyor.","gürültü"
"Site içindeki jeneratör çok ses yapıyor.","gürültü"
"Kahvehane önündeki konuşmalar gece geç saate kadar sürüyor.","gürültü"
"Kurban kesimi sırasında yüksek sesli müzik çalındı.","gürültü"
"Akşam saatlerinde stadyum anonsları aşırı yüksek sesle yapılıyor.","gürültü"
"Boş binada gençler yüksek sesle müzik dinliyor.","gürültü"
"Gün içinde iş makinesi sürekli çalışıyor, gürültü hiç kesilmiyor.","gürültü"
"Komşu binada tadilat var, matkap sesi rahatsız ediyor.","gürültü"
"Düğün salonundan taşan sesler sabah saatlerine kadar sürdü.","gürültü"
"Petshop’tan gelen hayvan sesleri sürekli devam ediyor.","gürültü"
"Yol çalışması gece yapılıyor, gürültü uyutmuyor.","gürültü"
"Kafeler canlı müzik izni olmadığı halde ses sistemiyle sokakları inletiyor.","gürültü"
"Yüksek sesle bağırarak konuşan çalışanlar çevreyi rahatsız ediyor.","gürültü"
"Parkta gece geç saate kadar bağırarak konuşan gençler var.","gürültü"
"Yük taşıma araçları gece saatlerinde çalışıyor ve çok ses yapıyor.","gürültü"
"Konteyner boşaltma sesi sabah erken saatlerde uyandırıyor.","gürültü"
"Mahallede düğün konvoyları sürekli korna çalıyor.","gürültü"
"Gece yarısı yüksek sesle film izleyen komşular var.","gürültü"
"Cadde üzerindeki restoranın egzoz fanı çok ses yapıyor.","gürültü"
"Çocuk parkındaki oyuncaklar yağlanmadığı için çok ses çıkarıyor.","gürültü"
"Komşu dairede sürekli yüksek sesli müzik açılıyor.","gürültü"
"Boş arazide drift yapan araçlar gece boyu ses yapıyor.","gürültü"
"Alışveriş merkezi hoparlör sistemi mahalleye kadar ulaşıyor.","gürültü"
"Küçük sanayi sitesinden gelen metal kesme sesleri çok rahatsız edici.","gürültü"
"Kapıcı sabah saat 5'te gürültülü temizlik yapıyor.","gürültü"
"Binanın kazan dairesinden gelen titreşim sesi dairede duyuluyor.","gürültü"
"Gece saatlerinde bina içindeki tadilat çalışması uyutmuyor.","gürültü"
"Sokakta çalgıcılık yapanlar yüksek sesle müzik çalıyor.","gürültü"
"Elektrik trafosu sürekli vızıldıyor, rahatsız edici.","gürültü"
"Site içindeki basketbol sahası gece kullanılınca gürültü oluyor.","gürültü"
"Alt kattaki ofisten gelen telefon görüşmeleri çok gürültülü.","gürültü"
"Bahçedeki jeneratör tüm gece çalışıyor ve çok ses çıkarıyor.","gürültü"
"Parkta düzenlenen konser çevre sakinlerini rahatsız ediyor.","gürültü"
"İçki içen gruplar sokakta bağırarak konuşuyor.","gürültü"
"Otobüs durak anons sistemi çok yüksek sesli.","gürültü"
"İnşaat kamyonları geri giderken sürekli bip sesi çıkarıyor.","gürültü"
"Gece saat 2'de sokak temizleme aracı çalışıyor, sesi uyandırıyor.","gürültü"
"Düğün salonundan çıkan konvoy korna çalmadan gitmiyor.","gürültü"
"Mahallede kurulan lunaparkın ses düzeyi çok yüksek.","gürültü"
"Binanın dışındaki havalandırma cihazı sürekli uğultu yapıyor.","gürültü"
"Okul çıkışlarında yüksek sesli müzik çalınıyor.","gürültü"
"Gece kulübü kapanışında kavga ve bağırış sesleri geliyor.","gürültü"
"Sabah ezanından önce megafonla duyuru yapılıyor.","gürültü"
"Çamaşırhane makineleri gece geç saate kadar çalışıyor.","gürültü"
"Açık alanda yapılan kutlama çevrede yankılanıyor.","gürültü"
"Kütüphane yanında inşaat var, içeride çalışılamıyor.","gürültü"
"Bina içi asansör motoru çok ses çıkarıyor.","gürültü"
"Site içerisindeki düğün organizasyonları çok gürültülü geçiyor.","gürültü"
"Gece temizlik yapan personel gürültüyle çalışıyor.","gürültü"
"Üst kat komşu sabah erken saatte mobilya çekiyor, ses çok fazla.","gürültü"
"Gece yarısı tamirat yapılıyor, duvarlar deliniyor.","gürültü"
"Yol kenarındaki kafede hoparlör dışarı dönük çalışıyor.","gürültü"
"Toplu taşıma araçlarının duraklarda yaptığı anonslar çok gürültülü.","gürültü"
"Açık hava sinema etkinliği gece geç saate kadar sürdü.","gürültü"
"Mahalle kahvesinden gece 1'e kadar ses geliyor.","gürültü"
"İnşaat asansörü sürekli çalışıyor, metal sesi rahatsız ediyor.","gürültü"
"Kafeden gelen canlı müzik sesi çocukları uyutmuyor.","gürültü"
"Apartmandaki tadilat çalışması hafta sonu da sürüyor.","gürültü"
"Mahallede kurulan sirkin ses sistemi çok yüksek.","gürültü"
"İç sokaklara giren motosikletler susturucusuz kullanılıyor.","gürültü"
"Geceleri hayvan barınağından sürekli havlama sesi geliyor.","gürültü"
"Yüksek sesle yapılan dini anonslar mahalleliyi uyandırıyor.","gürültü"
"Tren istasyonundan gelen uyarı sesleri sabaha kadar devam ediyor.","gürültü"
"Gece çöp ayrıştırma merkezinden gürültü geliyor.","gürültü"
"Mahalle arasında açılan düğün salonu aşırı sesli yayın yapıyor.","gürültü"
"Restoran bacasından çıkan ses tüm sokağa yayılıyor.","gürültü"
"Açık otoparkta gece araç tamiri yapılıyor, çok sesli oluyor.","gürültü"
"Şehir hatları vapur iskelelerinde anonslar çok yüksek sesle yapılıyor.","gürültü"
"Binanın dış cephe temizliği sırasında makine sesi çok çıkıyor.","gürültü"
"Kıraathane önündeki sohbetler gece boyunca sürüyor.","gürültü"
"Üst kattaki gençler her akşam parti yapıyor, ses çok yüksek.","gürültü"
"Mahalle camii hoparlörü aşırı yüksek sesle sabah ezanı veriyor.","gürültü"
"Kayıt stüdyosu apartman içinde, ses yalıtımı yok.","gürültü"
"Kreşteki çocuk şarkıları hoparlörle bahçeye veriliyor.",gürültü
"Kütüphane önünde yüksek sesle telefonla konuşuluyor.",gürültü
"Anaokulu bahçesindeki oyun grubu çığlıkları sınırsız.",gürültü
"İnşaat perdesi olmadan çalışma yapılıyor, ses yalıtımı yok.",gürültü
"Alışveriş merkezinin havalandırma üniteleri gece gürültü yapıyor.",gürültü
"İş makinesi operatörleri gereksiz yere korna çalıyor.",gürültü
"Kafe terasındaki canlı müzik akşam 22:00'den sonra da devam ediyor.",gürültü
"İnşaat demir kesme sesi öğle tatilinde bile devam ediyor.",gürültü
"Evdeki klimaların dış ünite sesleri yazın gece boyu sürüyor.",gürültü
"Belediye ekiplerinin cadde temizliğinde kullandığı süpürge aracı gürültülü.",gürültü
"Kreş servisinin çocukları alma sırasındaki korna sesi rahatsız edici.",gürültü
"İş merkezine malzeme boşaltan kamyonlar gece gürültü yapıyor.",gürültü
"Ana cadde üzerindeki kafe müziği trafik gürültüsüyle birleşiyor.",gürültü
"Kaldırım yenileme çalışmasında kullanılan kompresör kulakları sağır ediyor.",gürültü
"Site içindeki yüzme havuzu motoru gece 23:00'e kadar çalışıyor.",gürültü
"Kamyonların arka kapak kapatma sesi gece yarısı yankılanıyor.",gürültü
"Çim biçme makinesi gürültülü.",gürültü
"Restoranın mutfak egzoz sistemi arızalı, sürekli gürültü yapıyor.",gürültü
"Anaokulu önünde bekleyen velilerin yüksek sesli sohbeti rahatsız edici.",gürültü
"Bina tadilatındaki elektrikli testere sesi tüm gün sürüyor.",gürültü
"Kaldırım kazıcısının motoru aşırı gürültülü çalışıyor.",gürültü
"Gece kulübünün kapı önündeki tartışma sesleri sabaha kadar sürüyor.",gürültü
"İş makinesi operatörlerinin radyo sesi çok yüksek.",gürültü
"Ana cadde üzerindeki dükkanların müzik yarışı rahatsız edici.",gürültü
"Çocuk parkındaki hoparlörden sürekli şarkı çalınıyor.",gürültü
"Kafe önündeki masalarda yüksek sesle oyun oynanıyor.",gürültü
"Okul bahçesindeki zil sesi çok keskin ve rahatsız edici.",gürültü
"Kaldırım yapımındaki vibratör makinesi evleri sarsıyor.",gürültü
"Gece geç saatte apartman girişinde yüksek sesle konuşuluyor.",gürültü
"Kafe terasındaki canlı müzik sesi komşu binalarda yankılanıyor.",gürültü
"Belediye çöp toplama aracının sıkıştırma mekanizması gürültülü.",gürültü
"Bina tadilatındaki kırım çekiç sesi migreni tetikliyor.",gürültü
"Ana cadde üzerindeki dükkanların açılış-kapanış kepenk sesleri rahatsız edici.",gürültü
"Gece kulübünün kapı önündeki kavga gürültüsü sabaha kadar devam ediyor.",gürültü
"Belediye fuar alanındaki lunapark hoparlörleri çok güçlü.",gürültü
"Okul kantinindeki soğutucu motoru sürekli uğulduyor.",gürültü
"Kırsal alandaki traktör sesleri gün doğmadan başlıyor.",gürültü
"Yük gemisi düdük sesi sabahın köründe liman çevresini uyandırıyor.",gürültü
"Bina jeneratör testi tatil günü yapılıyor.",gürültü
"İlkokul bahçesindeki teneffüs zili çok gürültülü.",gürültü
"Motokuryelerin egzoz patlatması özellikle gece rahatsız edici.",gürültü
"Kafe önündeki masalarda yüksek sesle sohbet ediliyor.",gürültü
"Anaokulu bahçesindeki oyun grubu çığlıkları sınırsız.",gürültü
"İş makinesi operatörlerinin radyo sesi çok yüksek.",gürültü
"Apartman girişinde gece geç saatlere kadar yüksek sesle sohbet ediliyor.",gürültü
"Sokakta çöp toplayanların metal konteynerleri sürükleme sesi uyandırıyor.",gürültü
"Hastane yakınındaki inşaat sabah 05:00'te başlıyor.",gürültü
"Kafe bahçesindeki nargile keyfi gece 01:00'e kadar sürüyor.",gürültü
"Bina içindeki su tesisatından gelen anormal sesler devam ediyor.",gürültü
"Taksi durağındaki sürekli korna sesleri mahalleyi rahatsız ediyor.",gürültü
"Market kasasının bip sesleri apartman içinde duyuluyor.",gürültü
"Otopark kapısının otomatik açılma sesi gece her araç girişinde çalıyor.",gürültü
"Mahalle arasına kurulan düğün sahnesi hoparlörleri aşırı yüksek.",gürültü
"Kaldırım taşlarının sökülme sesi sabah erken saatte başlıyor.",gürültü
"Hastane acil girişindeki siren sesleri gece boyunca devam ediyor.",gürültü
"Köşedeki berber dükkanı sürekli yüksek sesle müzik açıyor.",gürültü
"Apartman merdiven boşluğunda çocukların bağırışları yankılanıyor.",gürültü
"Yazlık sinema etkinliği için kurulan ses sistemi çok güçlü.",gürültü
"Bakkal önündeki meyve tezgahı hoparlörü sürekli anons yapıyor.",gürültü
"İnşaat demir yığınlarının boşaltılma sesi sabah 06:00'da başlıyor.",gürültü
"Kreş bahçesindeki çocuk çığlıkları öğle uykusunu engelliyor.",gürültü
"Kıraathanedeki okey sesleri ve bağrışmalar gece geç saate kadar sürüyor.",gürültü
"Kamyonların fren tıslaması gece yarısı yankılanıyor.",gürültü
"Belediye ekiplerinin ağaç budama makinesi çok gürültülü.",gürültü
"Araç alarmı gece boyunca aralıklarla çalmaya devam ediyor.",gürültü
